"Meta Ad Library 분석 — ""라네즈""",,,,,,,,,,,
총 150건 | 생성: 2026-03-03 07:13 | Goldnex SM본부,,,,,,,,,,,
,,,,,,,,,,,
No.,브랜드,소재유형 (1차),소재유형 (2차),카피 내용,소재 링크,플랫폼,타겟 데모그라픽,집행 시작일,집행 종료일,집행일수,추정 지출(원)
1,라네즈 LANEIGE,USP (제품특장점),프로모션,"나이아신아마이드 10% 고함량 세럼. 칙칙한 피부톤을 환하게, 모공 케어 솔루션 | 신제품 출시 | 무료 샘플 증정",소재보기 →,facebook,전체 / 25-44세,2025-11-11,2026-02-02,83,"6,815,074원"
2,라네즈 LANEIGE,브랜딩,프로모션,글로벌 앰버서더 한소희와 함께하는 프레스티지 스킨케어 캠페인 | 베스트셀러 | 무료 샘플 증정,소재보기 →,"facebook, instagram, messenger",남성 / 25-44세,2026-02-02,2026-03-01,27,"5,610,096원"
3,라네즈 LANEIGE,소셜증거 (Social Proof),브랜딩,후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 신제품 출시 | 새로운 발견,소재보기 →,instagram,전체 / 25-44세,2026-02-07,집행중,0,"1,085,196원"
4,라네즈 LANEIGE,USP (제품특장점),소셜증거 (Social Proof),틱톡 1억뷰 돌파! 커버력 + 지속력 모두 잡은 올해의 뷰티템 | 자세히 보기 | 지금 확인하세요,소재보기 →,"facebook, instagram",여성 / 18-44세,2026-02-02,집행중,0,"3,432,352원"
5,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),레티놀 입문자를 위한 꿀팁 5가지! 처음 쓸 때 이것만 기억하세요 | 신제품 출시 | 피부 타입별 맞춤 추천,소재보기 →,instagram,남성 / 18-34세,2026-01-16,집행중,0,"6,857,520원"
6,라네즈 LANEIGE,정보형 (Edu),프로모션,선크림 SPF 숫자의 비밀 ☀️ SPF30 vs 50 차이점 알려드립니다 | 한정 특가 | 지금 확인하세요,소재보기 →,facebook,남성 / 25-54세,2026-02-11,집행중,0,"601,962원"
7,라네즈 LANEIGE,프로모션,USP (제품특장점),"지금 가입하면 5,000원 적립금 즉시 지급! 가성비 끝판왕 스킨케어 세트 | 한정 특가 | 무료 샘플 증정",소재보기 →,instagram,남성 / 18-34세,2025-12-25,집행중,0,"7,659,496원"
8,라네즈 LANEIGE,정보형 (Edu),프로모션,피부타입별 세럼 고르는법 가이드 📖 건성/지성/복합성 맞춤 추천 TOP5 | 한정 특가 | 새로운 발견,소재보기 →,"facebook, instagram, messenger",여성 / 18-34세,2026-01-22,2026-02-09,18,"743,592원"
9,라네즈 LANEIGE,리뷰/UGC,브랜딩,찐후기) 3개월 써본 솔직 리뷰... 진짜 피부결이 달라졌어요 😱 비포애프터 공개 | 올리브영 바로가기 | 새로운 발견,소재보기 →,instagram,남성 / 25-54세,2026-01-13,2026-02-27,45,"6,797,940원"
10,라네즈 LANEIGE,USP (제품특장점),프로모션,"병풀 CICA 성분 저자극 포뮬러. 예민한 피부도 순하게 진정, 피부 장벽 강화 | 자세히 보기 | 무료 샘플 증정",소재보기 →,"facebook, instagram, messenger",여성 / 18-34세,2025-07-09,2026-02-10,216,"45,570,528원"
11,라네즈 LANEIGE,리뷰/UGC,정보형 (Edu),인생템 찾았다ㅠㅠ 민감성인 저도 자극 없이 쓸 수 있는 세럼 강추합니다!! | 자세히 보기 | 피부 타입별 맞춤 추천,소재보기 →,"facebook, instagram",전체 / 18-65세,2026-01-22,2026-02-02,11,"2,068,748원"
12,라네즈 LANEIGE,리뷰/UGC,프로모션,"솔직 언박싱 🎁 신상 세럼 개봉기! 발림성, 흡수력, 향까지 꼼꼼 리뷰 | 자세히 보기 | 공식몰 단독 혜택",소재보기 →,facebook,남성 / 18-34세,2026-02-23,집행중,0,"293,100원"
13,라네즈 LANEIGE,정보형 (Edu),USP (제품특장점),선크림 SPF 숫자의 비밀 ☀️ SPF30 vs 50 차이점 알려드립니다 | 자세히 보기 | 지금 확인하세요,소재보기 →,"facebook, instagram, messenger",남성 / 18-65세,2025-11-22,2026-02-20,90,"12,771,000원"
14,라네즈 LANEIGE,프로모션,소셜증거 (Social Proof),1+1 특가 진행 중! 베스트셀러 세럼 2개를 1개 가격에 🎉 무료배송은 덤 | 베스트셀러 | 공식몰 단독 혜택,소재보기 →,"facebook, instagram, audience_network",여성 / 18-65세,2025-12-24,집행중,0,"7,657,962원"
15,라네즈 LANEIGE,소셜증거 (Social Proof),리뷰/UGC,후기 10만개가 증명하는 보습력. 건성피부 구원템 입소문 대란 | 베스트셀러 | 피부 타입별 맞춤 추천,소재보기 →,instagram,여성 / 25-44세,2026-01-27,2026-02-19,23,"2,505,374원"
16,라네즈 LANEIGE,USP (제품특장점),브랜딩,비타민C 순수 성분 그대로. 특허 캡슐 기술로 산화 걱정 없이 피부 광채 UP | 신제품 출시 | 새로운 발견,소재보기 →,instagram,남성 / 25-44세,2025-12-29,집행중,0,"289,276원"
17,라네즈 LANEIGE,프로모션,정보형 (Edu),선크림 SPF 숫자의 비밀 ☀️ SPF30 vs 50 차이점 알려드립니다 | 한정 특가 | 무료 샘플 증정,소재보기 →,instagram,여성 / 18-65세,2025-07-12,집행중,0,"19,605,477원"
18,라네즈 LANEIGE,프로모션,브랜딩,오늘 하루만! 전품목 무료배송 + 사은품 랜덤박스 증정 이벤트 | 한정 특가 | 새로운 발견,소재보기 →,"facebook, instagram, audience_network",여성 / 25-44세,2026-01-26,2026-02-25,30,"2,384,520원"
19,라네즈 LANEIGE,프로모션,USP (제품특장점),"지금 가입하면 5,000원 적립금 즉시 지급! 가성비 끝판왕 스킨케어 세트 | 올리브영 바로가기 | 새로운 발견",소재보기 →,"facebook, instagram, audience_network",여성 / 25-54세,2025-05-31,2026-02-19,264,"26,405,280원"
20,라네즈 LANEIGE,프로모션,USP (제품특장점),"아침이 기다려지는 스킨케어. 맑고 촉촉한 하루의 시작, 데일리 모닝 에센스 | 한정 특가 | 공식몰 단독 혜택",소재보기 →,"facebook, instagram, audience_network",여성 / 18-65세,2025-10-11,2026-02-06,118,"3,040,466원"
21,라네즈 LANEIGE,정보형 (Edu),리뷰/UGC,피부타입별 세럼 고르는법 가이드 📖 건성/지성/복합성 맞춤 추천 TOP5 | 자세히 보기 | 지금 확인하세요,소재보기 →,facebook,전체 / 25-54세,2026-02-24,2026-02-27,3,"708,516원"
